Date,Open,High,Low,NFLX_Close(t),Volume,SD20,Upper_Band,Lower_Band,NFLX_Close(t-1),NFLX_Close(t-2),NFLX_Close(t-5),NFLX_Close(t-10),NFLX_Open(t-1),MA5,MA10,MA20,MA50,MA200,MACD,MACD_EMA,EMA10,EMA20,EMA50,EMA100,EMA200,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,Adj Close,SnP(t-1)),SnP(t-5),ForceIndex1,ForceIndex20,NFLX_Close(t+1),Date_Col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month
2004-10-18,10.6,10.66,9.85,9.87,12295000.0,2.216304178249425,20.72660835649885,11.86139164350115,10.3,17.43,17.43,17.25,10.02,14.446000000000002,15.996,16.294,15.8796,32.003524999999996,-0.8227970849539048,-0.14400425788526047,13.287303948393506,13.287303948393506,13.287303948393506,13.287303948393506,13.287303948393506,1.433542094080176,22.706063375170423,1333.3333333333335,-42.78260869565218,23.16802397148831,-99.7948717948718,0.2051282051282007,0.1792709991746411,36.14,35.63,35.45,35.75,35.910000000000004,35.552,34.7318,1114.02001953125,1114.02001953125,1108.199951171875,1124.3900146484375,-5286850.000000019,-97007550.00000003,9.93,2004-10-18,18,0,292,43,0,0,0,0,0,0,1,2004,10
2004-10-19,9.99,10.09,9.67,9.93,7863200.0,2.610475859019928,21.135951718039856,10.694048281960145,9.87,10.3,17.28,18.05,10.6,12.976000000000003,15.184000000000001,15.915000000000001,15.7498,31.779025,-1.177925831946963,-0.350788572697601,12.16820263226234,12.16820263226234,12.16820263226234,12.16820263226234,12.16820263226234,1.361146230217306,24.72017593450218,1333.3333333333333,-44.98614958448754,23.56882086330894,-97.3816717019134,2.618328298086604,0.18105237539254587,35.88,36.14,35.63,35.69,35.862,35.5675,34.7934,1103.22998046875,1103.22998046875,1114.02001953125,1121.8399658203125,471792.0000000039,-59603056.000000015,10.1,2004-10-19,19,1,293,43,0,0,0,0,0,0,1,2004,10
2004-10-20,9.99,10.3,9.95,10.1,3084300.0,2.9031650151623567,21.383830030324713,9.771169969675288,9.93,9.87,17.35,17.95,9.99,11.526,14.398999999999997,15.5775,15.608999999999998,31.550025,-1.4291756954663448,-0.5664659972513497,11.478801754841559,11.478801754841559,11.478801754841559,11.478801754841559,11.478801754841559,1.29035007091607,26.379170908917633,1333.3333333333335,-43.73259052924791,24.766324866327377,-95.66968781470293,4.3303121852970765,0.1827853675155015,36.05,35.88,36.14,35.61,35.802,35.6225,34.8502,1103.6600341796875,1103.6600341796875,1103.22998046875,1113.6500244140625,524330.9999999998,-20819025.000000004,10.07,2004-10-20,20,2,294,43,0,0,0,0,0,0,1,2004,10
2004-10-21,10.29,10.35,9.97,10.07,2891400.0,3.1347994143837203,21.510598828767442,8.971401171232559,10.1,9.93,17.43,17.54,9.99,10.054,13.651999999999997,15.241,15.488199999999999,31.302325,-1.6121301390161022,-0.7755988256043003,11.009201169894373,11.009201169894373,11.009201169894373,11.009201169894373,11.009201169894373,1.2253250658506365,27.866826114226086,1333.3333333333333,-42.588369441277074,24.692800079989425,-95.9718026183283,4.0281973816717045,0.18188957778749315,36.6,36.05,35.88,35.45,35.838,35.7065,34.9238,1106.489990234375,1106.489990234375,1103.6600341796875,1103.2900390625,-86741.99999999815,-19459122.0,9.8,2004-10-21,21,3,295,43,0,0,0,0,0,0,1,2004,10
2004-10-22,10.1,10.15,9.72,9.8,2862100.0,3.3402289158867173,21.578957831773437,8.218042168226567,10.07,10.1,10.3,16.76,10.29,9.953999999999999,12.956,14.898500000000002,15.376599999999998,31.040125000000003,-1.758637123119005,-0.9722064851072413,10.606134113262916,10.606134113262916,10.606134113262916,10.606134113262916,10.606134113262916,1.168516132575591,29.34708882721107,1333.3333333333335,-41.527446300715994,24.002163173768032,-98.69083585095669,1.3091641490433108,0.024152861527121858,35.8,36.6,36.05,35.63,35.86,35.7565,34.9904,1095.739990234375,1095.739990234375,1106.489990234375,1108.199951171875,-772766.9999999988,-19605384.999999993,9.99,2004-10-22,22,4,296,43,0,0,0,0,0,0,1,2004,10
2004-10-25,9.89,10.15,9.73,9.99,3120000.0,3.4942417293537824,21.569483458707566,7.592516541292435,9.8,10.07,9.87,17.43,10.1,9.978,12.212,14.581,15.276800000000001,30.779775,-1.838223653420492,-1.1454099187698916,10.400756075508612,10.400756075508612,10.400756075508612,10.400756075508612,10.400756075508612,1.1150506945344774,30.721618489268558,1333.3333333333335,-42.68502581755594,25.579578612602944,-96.27039627039626,3.729603729603733,0.018714050894110913,35.63,35.8,36.6,36.14,35.848,35.813,35.052600000000005,1094.800048828125,1094.800048828125,1095.739990234375,1114.02001953125,592799.9999999985,-19812000.0,9.61,2004-10-25,25,0,299,44,0,0,0,0,0,0,1,2004,10
2004-10-26,9.94,9.94,9.55,9.61,2387300.0,3.6355316703771376,21.513063340754275,6.970936659245724,9.99,9.8,9.93,17.28,9.89,9.914,11.445,14.241999999999999,15.1614,30.517825,-1.9099427452131632,-1.298316484058546,10.137170717005741,10.137170717005741,10.137170717005741,10.137170717005741,10.137170717005741,1.0668327877820147,32.07663876991005,1333.3333333333333,-44.38657407407408,24.484969395384017,-99.30232558139537,0.6976744186046365,0.025726871279005244,35.82,35.63,35.8,35.88,35.861000000000004,35.8755,35.1112,1111.0899658203125,1111.0899658203125,1094.800048828125,1103.22998046875,-907174.0000000019,-16185894.000000002,9.68,2004-10-26,26,1,300,44,0,0,0,0,0,0,1,2004,10
2004-10-27,9.33,9.84,9.25,9.68,3645300.0,3.735470237431455,21.37794047486291,6.4360595251370905,9.61,9.99,10.1,17.35,9.94,9.83,10.678,13.907,15.043600000000001,30.245975,-1.9387831419713724,-1.4264098156411111,9.984780478003827,9.984780478003827,9.984780478003827,9.984780478003827,9.984780478003827,1.0327733029404422,33.46793490082034,1333.3333333333335,-44.20749279538905,25.120632506365425,-95.06880733944955,4.931192660550456,0.02379555126346554,36.73,35.82,35.63,36.05,35.973,35.958,35.1806,1125.4000244140625,1125.4000244140625,1111.0899658203125,1103.6600341796875,255171.00000000105,-24423509.999999996,9.59,2004-10-27,27,2,301,44,0,0,0,0,0,0,1,2004,10
2004-10-28,9.85,9.86,9.5,9.59,1468300.0,3.837274903393015,21.29004980678603,5.940950193213971,9.68,9.61,10.07,17.43,9.33,9.734,9.894,13.6155,14.9206,29.967375,-1.9464639868164486,-1.5304206498761788,9.853186985335885,9.853186985335885,9.853186985335885,9.853186985335885,9.853186985335885,0.9847180670161249,34.731149591736944,1333.3333333333333,-44.97991967871486,24.831217679674502,-96.10091743119267,3.899082568807338,0.02361347291738547,36.96,36.73,35.82,36.6,36.124,36.049,35.2428,1127.43994140625,1127.43994140625,1125.4000244140625,1106.489990234375,-132146.9999999998,-8560189.0,9.47,2004-10-28,28,3,302,44,0,0,0,0,0,0,1,2004,10
2004-10-29,9.55,9.7,9.4,9.47,2213300.0,3.8881234480617697,21.04874689612354,5.49625310387646,9.59,9.68,9.8,10.3,9.85,9.668000000000001,9.811,13.272499999999999,14.793,29.689224999999997,-1.9398724665461646,-1.6123110132101761,9.725457990223925,9.725457990223925,9.725457990223925,9.725457990223925,9.725457990223925,0.9358096336578301,35.953247642081145,1333.3333333333333,-8.058252427184467,24.42712042546663,-97.47706422018348,2.5229357798165215,0.021787127207718957,36.9,36.96,36.73,35.8,36.251,36.089,35.3074,1130.199951171875,1130.199951171875,1127.43994140625,1095.739990234375,-265595.99999999825,-15183237.999999994,9.43,2004-10-29,29,4,303,44,0,0,0,0,0,0,1,2004,10
